customer_id,customer_name,email_address,country,phone,
12386,Allen Bowers,allen_bowers@example.com,Australia,+64 00 34,
12388,Allison Huang,allison_huang@example.com,Australia,+64 00 35,
12393,Alyssa Ford,alyssa_ford@example.com,Australia,+64 00 38,
12415,Amy Campbell,amy_campbell@example.com,Australia,+64 00 56,
12422,Amy Watson,amy_watson@example.com,Australia,+64 00 61,
12424,Andre Hunter,andre_hunter@example.com,Australia,+64 00 63,
12431,Andrea Suarez,andrea_suarez@example.com,Australia,+64 00 70,
12434,Andrew Barrett,andrew_barrett@example.com,Australia,+64 00 73,
16321,Carolyn Sullivan,carolyn_sullivan@example.com,Australia,+64 00 2937,
12358,Adrian Richards,adrian_richards@example.com,Austria,+43 00 12,
12360,Alan Cruz,alan_cruz@example.com,Austria,+43 00 14,
12373,Alexandra Harris,alexandra_harris@example.com,Austria,+43 00 24,
12374,Alexandra Reynolds,alexandra_reynolds@example.com,Austria,+43 00 25,
12414,Amy Calderon,amy_calderon@example.com,Austria,+43 00 55,
12453,Anthony Booth,anthony_booth@example.com,Austria,+43 00 89,
12817,Dylan Stevens,dylan_stevens@example.com,Austria,+43 00 375,
12818,Edward Dalton,edward_dalton@example.com,Austria,+43 00 376,
12865,Erin Le,erin_le@example.com,Austria,+43 00 412,
12353,Adam Hernandez,adam_hernandez@example.com,Bahrain,+973 00 7,
12355,Adam Torres,adam_torres@example.com,Bahrain,+973 00 9,
12361,Alan Davies,alan_davies@example.com,Belgium,+32 00 15,
12362,Alan Sweeney,alan_sweeney@example.com,Belgium,+32 00 16,
12364,Alexa Mcpherson,alexa_mcpherson@example.com,Belgium,+32 00 18,
12379,Alicia Burton,alicia_burton@example.com,Belgium,+32 00 29,
12380,Alicia Payne,alicia_payne@example.com,Belgium,+32 00 30,
12383,Alisha Campos,alisha_campos@example.com,Belgium,+32 00 32,
12390,Allison Mccall,allison_mccall@example.com,Belgium,+32 00 36,
12394,Alyssa Jones,alyssa_jones@example.com,Belgium,+32 00 39,
12395,Alyssa Mcpherson,alyssa_mcpherson@example.com,Belgium,+32 00 40,
